Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
MSTRG.907	PIP5K1A	chr1	+	151171028	151222007	258.057892	15.992565	50.176975
MSTRG.908	PSMD4	chr1	+	151227210	151239936	1230.976807	76.456825	239.884735
MSTRG.909	ZNF687-AS1	chr1	-	151252500	151254405	3.982073	0.244260	0.766369
MSTRG.910	ZNF687	chr1	+	151253998	151264648	29.573490	3.284861	10.306313
MSTRG.911	PI4KB	chr1	-	151264273	151300191	249.171982	19.834154	62.230034
MSTRG.912	RFX5	chr1	-	151313116	151319769	127.656746	8.077647	25.343773
MSTRG.913	GBAT2	chr1	+	151319486	151320367	16.037586	0.983742	3.086509
MSTRG.914	SELENBP1	chr1	-	151336780	151345181	177.431015	12.067004	37.860455
MSTRG.915	PSMB4	chr1	+	151372049	151374413	2544.289307	156.066162	489.660553
CGN	CGN	chr1	+	151483863	151511167	0.000000	0.000000	0.000000
MSTRG.916	POGZ	chr1	-	151375200	151431970	68.262642	4.380911	13.745191
MSTRG.917	TUFT1	chr1	+	151512785	151556059	36.937462	2.398088	7.524047
MSTRG.918	MIR554	chr1	+	151518272	151518367	0.000000	0.000000	0.000000
RIIAD1	RIIAD1	chr1	+	151693998	151702281	0.000000	0.000000	0.000000
MSTRG.920	CELF3	chr1	-	151672534	151689279	0.151225	0.009276	0.029104
MSTRG.919	SNX27	chr1	+	151584526	151671556	37.642353	2.536702	7.958951
TDRKH-AS1	TDRKH-AS1	chr1	+	151763225	151766878	0.000000	0.000000	0.000000
MSTRG.924	TDRKH	chr1	-	151744044	151763010	6.841411	0.484912	1.521421
C2CD4D	C2CD4D	chr1	-	151810339	151813033	0.000000	0.000000	0.000000
C2CD4D-AS1	C2CD4D-AS1	chr1	+	151810753	151824011	4.176640	0.256194	0.803814
THEM5	THEM5	chr1	-	151819577	151826188	1.152369	0.070686	0.221779
MSTRG.922	MRPL9	chr1	-	151732123	151735972	405.678650	25.904238	81.275040
MSTRG.923	OAZ3	chr1	+	151735445	151743806	1.201968	0.396300	1.243398
MSTRG.921	THEM4	chr1	-	151843343	151881987	52.871067	3.243100	10.175288
MSTRG.925	S100A10	chr1	-	151950500	151966335	1690.321533	299.736053	940.427612
TCHH	TCHH	chr1	-	152078793	152087930	0.000000	0.000000	0.000000
HRNR	HRNR	chr1	-	152184552	152196672	3.720837	0.228235	0.716093
S100A7	S100A7	chr1	-	153430220	153433127	0.000000	0.000000	0.000000
FLG	FLG	chr1	-	152274641	152297715	4.591569	0.281646	0.883669
FLG-AS1	FLG-AS1	chr1	+	152285935	152339168	5.028666	0.377545	1.184555
FLG2	FLG2	chr1	-	152321211	152332482	0.250877	0.015389	0.048282
MSTRG.926	S100A11	chr1	-	152004982	152009480	8352.250977	512.325256	1607.430298
MSTRG.927	S100A6	chr1	-	153507075	153509005	11584.529297	721.262634	2262.975098
MSTRG.928	S100A5	chr1	-	153509623	153514241	1.905634	0.116891	0.366748
MSTRG.929	S100A4	chr1	-	153516090	153518282	3686.605957	244.734299	767.858459
MSTRG.930	LOC101928034	chr1	+	153518218	153524245	8.796964	0.539604	1.693017
MSTRG.931	S100A3	chr1	-	153519805	153521863	41.741627	2.624209	8.233505
S100A14	S100A14	chr1	-	153586732	153588801	0.365622	0.022427	0.070366
MSTRG.932	S100A2	chr1	-	153533585	153538320	14.257741	0.997059	3.128292
MSTRG.933	S100A16	chr1	-	153561694	153585686	549.174438	106.203537	333.215637
MSTRG.936	S100A13	chr1	-	153591255	153606837	460.357819	76.260323	239.268219
MSTRG.937	S100A1	chr1	+	153600910	153604515	7.590418	0.465595	1.460812
MSTRG.938	CHTOP	chr1	+	153606458	153618782	286.253967	18.112820	56.829319
NPR1	NPR1	chr1	+	153651164	153666468	5.889606	0.361267	1.133483
MIR8083	MIR8083	chr1	-	153662181	153662269	0.000000	0.000000	0.000000
MSTRG.934	SNAPIN	chr1	+	153631130	153634328	308.797791	19.866318	62.330948
MSTRG.935	ILF2	chr1	-	153634264	153643504	1264.533691	78.346748	245.814407
LOC343052	LOC343052	chr1	+	153766423	153768778	0.325758	0.019982	0.062694
MSTRG.940	INTS3	chr1	+	153700526	153747284	126.425575	7.789455	24.439564
MSTRG.941	SLC27A3	chr1	+	153747883	153752636	37.558674	2.318321	7.273777
MSTRG.939	GATAD2B	chr1	-	153777203	153895448	35.111401	2.153726	6.757356
MSTRG.942	DENND4B	chr1	-	153901977	153919194	67.683655	4.482981	14.065438
MSTRG.943	CRTC2	chr1	-	153920152	153931088	136.089249	8.347686	26.191021
MSTRG.946	SLC39A1	chr1	-	153931575	153940660	413.955658	38.803555	121.746895
MSTRG.947	CREB3L4	chr1	+	153940378	153946834	27.301304	1.979317	6.210146
MSTRG.948	JTB	chr1	-	153946745	153951688	317.272736	19.624205	61.571316
MSTRG.944	RAB13	chr1	-	153954081	153958815	1708.548828	151.774399	476.195038
MSTRG.945	RPS27	chr1	+	153963231	153964631	11965.850586	1220.235107	3828.510986
MSTRG.949	NUP210L	chr1	-	153965168	154127592	0.065454	0.004015	0.012597
MSTRG.950	MIR5698	chr1	-	154076997	154077068	0.000000	0.000000	0.000000
MSTRG.951	TPM3	chr1	-	154127780	154164576	218.740845	73.641747	231.052383
IL6R-AS1	IL6R-AS1	chr1	-	154374799	154379040	0.000000	0.000000	0.000000
IL6R	IL6R	chr1	+	154377669	154441926	4.055750	0.324940	1.019505
SHE	SHE	chr1	-	154451959	154474888	0.064220	0.003939	0.012359
TDRD10	TDRD10	chr1	+	154474695	154520623	0.000000	0.000000	0.000000
MSTRG.958	ATP8B2	chr1	+	154298001	154323780	124.830475	10.588731	33.222343
MSTRG.955	C1orf43	chr1	-	154179182	154193273	620.415405	56.224369	176.405029
MSTRG.956	UBAP2L	chr1	+	154192648	154243986	201.886795	32.914211	103.268967
MSTRG.952	HAX1	chr1	+	154245105	154248351	783.617188	48.530739	152.266113
CHRNB2	CHRNB2	chr1	+	154540254	154552486	0.297574	0.018253	0.057270
MSTRG.953	UBE2Q1	chr1	-	154521053	154531138	241.750885	14.828948	46.526104
MSTRG.954	UBE2Q1-AS1	chr1	+	154526085	154527504	0.000000	0.000000	0.000000
MSTRG.957	PMVK	chr1	-	154897216	154915134	175.112808	13.732245	43.085178
MSTRG.960	ADAR	chr1	-	154554534	154600473	316.015411	20.847017	65.407913
MSTRG.959	PBXIP1	chr1	-	154916559	154928575	190.479248	11.685493	36.663452
MSTRG.961	FLAD1	chr1	+	154955710	154965587	89.951881	11.301395	35.458344
MSTRG.967	ZBTB7B	chr1	+	154975106	154991001	76.794632	5.814430	18.242884
MSTRG.968	DCST2	chr1	-	154991003	155006257	0.461761	0.028324	0.088868
MSTRG.962	PYGO2	chr1	-	154929502	154934258	104.019753	6.380549	20.019094
MSTRG.963	LOC101928120	chr1	+	154933947	154935101	0.425557	0.026104	0.081900
MSTRG.964	SHC1	chr1	-	154934774	154947030	940.661255	74.987335	235.274200
MSTRG.965	CKS1B	chr1	+	154947118	154951727	496.529999	35.859074	112.508522
MSTRG.966	MIR4258	chr1	+	154948169	154948259	2.087912	0.128072	0.401829
MSTRG.977	EFNA3	chr1	+	155051313	155060014	19.745735	1.211199	3.800161
MSTRG.973	DCST1	chr1	+	155006282	155023406	0.075905	0.004656	0.014608
MSTRG.974	DCST1-AS1	chr1	-	155017668	155036467	2.009066	0.141325	0.443409
MSTRG.975	ADAM15	chr1	+	155023792	155035251	306.163147	26.768793	83.987595
MSTRG.976	EFNA4	chr1	+	155036216	155042029	69.089325	4.308877	13.519182
EFNA1	EFNA1	chr1	+	155100352	155107375	5.926547	0.363533	1.140592
MSTRG.970	SLC50A1	chr1	+	155107851	155111334	246.678284	23.875736	74.910576
MSTRG.969	DPM3	chr1	-	155112367	155113030	186.180725	15.326531	48.087284
MSTRG.972	TRIM46	chr1	+	155146263	155157447	11.434930	0.968306	3.038080
MSTRG.971	KRTCAP2	chr1	-	155141875	155146167	630.481018	39.141048	122.805771
MSTRG.978	MUC1	chr1	-	155158300	155162706	24.497715	1.512843	4.746573
MSTRG.984	FAM189B	chr1	-	155216996	155225274	150.795532	9.541107	29.935402
MSTRG.979	THBS3	chr1	-	155165379	155177772	138.817978	8.750692	27.455462
MSTRG.980	MTX1	chr1	+	155178490	155183630	207.597580	12.781782	40.103081
MSTRG.981	GBAP1	chr1	-	155183616	155197325	60.366837	4.414217	13.849690
MSTRG.982	-	chr1	+	155201061	155204238	124.530586	7.638680	23.966501
MSTRG.983	GBA	chr1	-	155204243	155214418	366.822113	23.579958	73.982567
MSTRG.985	SCAMP3	chr1	-	155225772	155232151	542.810303	33.639481	105.544495
MSTRG.986	CLK2	chr1	-	155232659	155243295	169.716599	10.494194	32.925732
HCN3	HCN3	chr1	+	155247254	155259639	10.165458	0.623547	1.956391
PKLR	PKLR	chr1	-	155259084	155271229	0.000000	0.000000	0.000000
MSTRG.987	FDPS	chr1	+	155278526	155290457	1260.182007	102.633392	322.014221
MSTRG.988	RUSC1-AS1	chr1	-	155286645	155293967	9.987183	1.159834	3.639002
MSTRG.989	RUSC1	chr1	+	155290685	155300909	75.840813	8.900450	27.925331
MSTRG.1080	RIT1	chr1	-	155867599	155881140	67.447823	4.204971	13.193177
RXFP4	RXFP4	chr1	+	155911480	155912625	0.144852	0.008885	0.027877
MSTRG.1074	KHDC4	chr1	-	155882833	155904204	117.371628	7.229502	22.682701
MSTRG.1075	SNORA80E	chr1	-	155889700	155889833	0.000000	0.000000	0.000000
MSTRG.1076	SCARNA4	chr1	-	155895749	155895877	2.790698	0.171181	0.537083
MSTRG.990	ASH1L	chr1	-	155305059	155532594	47.746864	2.940724	9.226579
MSTRG.991	POU5F1P4	chr1	+	155402971	155404053	0.315789	0.019370	0.060775
MSTRG.992	ASH1L-AS1	chr1	+	155531833	155533735	6.937676	0.425556	1.335189
MSTRG.1078	MSTO1	chr1	+	155579961	155584758	120.312119	10.034987	31.484962
MSTRG.1079	-	chr1	-	155596569	155618363	27.150265	1.665391	5.225197
MSTRG.1085	YY1AP1	chr1	-	155629233	155658823	156.792389	14.548316	45.645615
MSTRG.1086	DAP3	chr1	+	155658882	155708800	481.949524	31.495449	98.817574
MSTRG.1081	GON4L	chr1	-	155714940	155829191	50.124123	4.293272	13.470223
MSTRG.1082	MSTO2P	chr1	+	155715559	155720479	60.344334	4.053943	12.719321
MSTRG.1083	SYT11	chr1	+	155829358	155854990	73.945869	4.535824	14.231234
MSTRG.1077	ARHGEF2	chr1	-	155916491	155953645	160.149643	21.269171	66.732422
RHBG	RHBG	chr1	+	156339002	156355011	0.000000	0.000000	0.000000
C1orf61	C1orf61	chr1	-	156374044	156399340	0.049647	0.043376	0.136093
MIR9-1	MIR9-1	chr1	-	156390133	156390221	0.000000	0.000000	0.000000
MSTRG.1098	MEF2D	chr1	-	156433519	156470622	80.317596	5.100185	16.001928
MSTRG.1099	IQGAP3	chr1	-	156495197	156542357	59.286045	3.636593	11.409881
BCAN	BCAN	chr1	+	156611909	156629320	1.218468	0.087889	0.275753
MSTRG.1100	NAXE	chr1	+	156561568	156564091	416.990997	25.578138	80.251900
MSTRG.1101	GPATCH4	chr1	-	156564100	156571279	206.229172	12.669044	39.749367
MSTRG.1084	SSR2	chr1	-	155978839	155990742	2242.168457	194.794388	611.171082
MSTRG.1087	UBQLN4	chr1	-	156005090	156023589	145.226852	8.908184	27.949596
MSTRG.1088	LAMTOR2	chr1	+	156024573	156028297	667.908325	41.058300	128.821182
RAB25	RAB25	chr1	+	156030951	156040295	0.000000	0.000000	0.000000
MSTRG.1089	MEX3A	chr1	-	156041804	156052256	10.165528	0.623551	1.956404
MSTRG.1090	LMNA	chr1	+	156052337	156109880	482.008484	79.750656	250.219208
SEMA4A	SEMA4A	chr1	+	156119735	156147542	1.508929	0.092798	0.291155
MSTRG.1091	SLC25A44	chr1	+	156163723	156182587	100.058319	6.778188	21.266693
MSTRG.1092	PMF1	chr1	+	156182779	156213123	140.542252	15.763355	49.457829
MSTRG.1093	PAQR6	chr1	-	156213111	156217908	2.884632	0.192814	0.604958
MSTRG.1096	SMG5	chr1	-	156219015	156265480	181.746185	31.779875	99.709969
MSTRG.1097	TMEM79	chr1	+	156252704	156262234	10.944916	0.930689	2.920053
VHLL	VHLL	chr1	-	156268415	156269428	0.165680	0.010163	0.031886
MSTRG.1094	CCT3	chr1	-	156278752	156308206	1457.615723	116.913193	366.817352
MSTRG.1095	TSACC	chr1	+	156307105	156316785	3.106095	0.523271	1.641772
MSTRG.1102	NES	chr1	-	156638555	156647199	135.671432	8.322057	26.110613
LRRC71	LRRC71	chr1	+	156890424	156902886	0.507334	0.031120	0.097639
PEAR1	PEAR1	chr1	+	156863510	156886226	0.217593	0.013363	0.041925
SH2D2A	SH2D2A	chr1	-	156776035	156786640	3.326370	0.239771	0.752285
NTRK1	NTRK1	chr1	+	156785542	156851642	0.427111	0.059838	0.187743
INSRR	INSRR	chr1	-	156809855	156828909	0.949808	0.058261	0.182795
ETV3L	ETV3L	chr1	-	157061835	157069600	0.000000	0.000000	0.000000
MSTRG.1111	ARHGEF11	chr1	-	156904632	157015534	57.369473	3.545534	11.124180
MSTRG.1112	MIR765	chr1	-	156905923	156906036	1.500000	0.092010	0.288682
MSTRG.1109	ETV3	chr1	-	157090983	157108383	28.300919	2.057250	6.454661
MSTRG.1110	CYCSP52	chr1	+	157098154	157098463	1.458065	0.089437	0.280612
MSTRG.1103	CRABP2	chr1	-	156669400	156675608	2778.532959	189.138901	593.426880
MSTRG.1104	ISG20L2	chr1	-	156690423	156698558	133.112762	9.719024	30.493620
MSTRG.1105	RRNAD1	chr1	+	156698261	156706752	86.495148	5.734701	17.992733
MSTRG.1106	MRPL24	chr1	-	156707091	156711343	489.384430	32.114525	100.759926
MSTRG.1108	HDGF	chr1	-	156711899	156722240	910.104614	92.491531	290.193939
MSTRG.1107	PRCC	chr1	+	156737327	156770606	332.997833	20.426016	64.087013
CD1D	CD1D	chr1	+	158147820	158156216	0.241849	0.017560	0.055096
SPTA1	SPTA1	chr1	-	158580494	158656505	0.114742	0.007038	0.022083
MSTRG.1113	KIRREL1	chr1	+	157963063	158070052	292.574982	18.898790	59.295311
MSTRG.1114	KIRREL1-IT1	chr1	+	157995340	158001888	0.000000	0.000000	0.000000
AIM2	AIM2	chr1	-	159032274	159046691	5.117724	0.345075	1.082680
OR10J3	OR10J3	chr1	-	159283460	159284449	0.134343	0.008241	0.025855
CADM3	CADM3	chr1	+	159141405	159173103	4.865921	0.306617	0.962016
CADM3-AS1	CADM3-AS1	chr1	-	159165775	159172212	0.000000	0.000000	0.000000
FCRL6	FCRL6	chr1	+	159770302	159786047	0.146035	0.009248	0.029017
MSTRG.1117	DUSP23	chr1	+	159750752	159752333	77.969887	4.782656	15.005674
SLAMF8	SLAMF8	chr1	+	159796663	159807282	1.201194	0.073681	0.231175
SNHG28	SNHG28	chr1	-	159804268	159824827	4.380910	0.268724	0.843127
VSIG8	VSIG8	chr1	-	159824106	159832447	0.853285	0.052340	0.164219
MSTRG.1115	PYDC5	chr1	-	158969761	158970102	0.000000	0.000000	0.000000
MSTRG.1116	IFI16	chr1	+	158969766	159024940	548.578735	50.964233	159.901260
SLAMF9	SLAMF9	chr1	-	159921282	159924027	1.675154	0.103945	0.326130
IGSF9	IGSF9	chr1	-	159896831	159915403	0.364868	0.022381	0.070221
MSTRG.1119	LINC01133	chr1	+	159931014	159950312	95.215599	6.129427	19.231195
MSTRG.1120	PIGM	chr1	-	159994745	160001780	18.255686	1.119800	3.513393
MSTRG.1121	KCNJ10	chr1	-	160007257	160039950	0.071662	0.004396	0.013792
KCNJ9	KCNJ9	chr1	+	160051328	160060353	0.103046	0.006321	0.019832
CASQ1	CASQ1	chr1	+	160160365	160171676	0.000000	0.000000	0.000000
ATP1A2	ATP1A2	chr1	+	160085549	160113374	0.452653	0.027766	0.087115
ATP1A4	ATP1A4	chr1	+	160121393	160156770	0.028083	0.001771	0.005558
MSTRG.1124	IGSF8	chr1	-	160061129	160069056	73.863541	4.748652	14.898984
CFAP45	CFAP45	chr1	-	159842154	159869955	5.660792	0.347232	1.089446
MIR4259	MIR4259	chr1	-	159869769	159869869	0.000000	0.000000	0.000000
MSTRG.1118	TAGLN2	chr1	-	159887901	159895297	2885.719971	228.587479	717.197571
NHLH1	NHLH1	chr1	+	160336861	160342636	0.754791	0.046299	0.145263
SLAMF7	SLAMF7	chr1	+	160708847	160724608	1.055404	0.103236	0.323904
MSTRG.1129	-	chr1	.	160864695	160866356	33.412457	2.049513	6.430386
LOC101928372	LOC101928372	chr1	+	160902255	160919712	0.000000	0.000000	0.000000
ITLN2	ITLN2	chr1	-	160914815	160924599	0.000000	0.000000	0.000000
F11R	F11R	chr1	-	160965001	160990942	0.476611	0.029235	0.091726
NECTIN4	NECTIN4	chr1	-	161040788	161059348	0.266917	0.016373	0.051369
ARHGAP30	ARHGAP30	chr1	-	161016736	161039681	0.352142	0.021600	0.067771
TSTD1	TSTD1	chr1	-	161007422	161008754	1.242331	0.084928	0.266464
MSTRG.1133	USF1	chr1	-	161009041	161015767	172.232559	11.056632	34.690392
MSTRG.1122	LOC729867	chr1	-	160171989	160178659	0.449090	0.027547	0.086429
MSTRG.1123	PEA15	chr1	+	160175174	160185162	1081.491089	74.608170	234.084564
MSTRG.1126	DCAF8	chr1	-	160185503	160232339	195.684158	13.984504	43.876644
MSTRG.1127	LOC100287049	chr1	+	160231539	160232568	4.086318	0.250654	0.786431
MSTRG.1125	-	chr1	.	160236665	160237076	0.000000	0.000000	0.000000
MSTRG.1128	PEX19	chr1	-	160246599	160254941	337.401062	20.775669	65.184059
MSTRG.1130	COPA	chr1	-	160258384	160313040	855.993896	52.759846	165.535019
MSTRG.1131	SUMO1P3	chr1	+	160287055	160288260	6.113184	0.374981	1.176511
MSTRG.1132	NCSTN	chr1	+	160313173	160328739	643.365601	41.508842	130.234787
MSTRG.1145	TOMM40L	chr1	+	161195729	161200536	63.981228	4.359520	13.678078
MSTRG.1146	NR1I3	chr1	-	161199456	161208000	0.000000	0.000000	0.000000
PCP4L1	PCP4L1	chr1	+	161228535	161255240	1.041963	0.063914	0.200531
MPZ	MPZ	chr1	-	161274525	161279758	20.329319	1.246996	3.912474
MSTRG.1134	PFDN2	chr1	-	161070346	161087968	608.356323	39.230091	123.085159
MSTRG.1135	NIT1	chr1	+	161087869	161095235	76.802986	10.067190	31.586002
MSTRG.1136	DEDD	chr1	-	161090764	161102478	137.012161	9.277481	29.108274
MSTRG.1137	UFC1	chr1	+	161102517	161128646	578.531433	48.070145	150.820999
MSTRG.1138	LOC112543491	chr1	+	161104940	161107732	0.112424	0.006896	0.021637
MSTRG.1139	USP21	chr1	+	161129274	161141010	69.979874	6.313020	19.807219
MSTRG.1140	B4GALT3	chr1	-	161141100	161147758	189.045364	11.661192	36.587212
MSTRG.1141	ADAMTS4	chr1	-	161154092	161168844	52.353519	3.309230	10.382771
MSTRG.1142	NDUFS2	chr1	+	161166833	161184184	176.158524	37.672024	118.196701
FCER1G	FCER1G	chr1	+	161185085	161189035	8.332204	0.511096	1.603572
FCGR2A	FCGR2A	chr1	+	161475247	161489619	0.880385	0.054003	0.169434
HSPA6	HSPA6	chr1	+	161494330	161496683	1.459006	0.089495	0.280793
HSPA7	HSPA7	chr1	+	161575849	161578341	0.201564	0.012364	0.038792
FCGR2C	FCGR2C	chr1	+	161551129	161571010	0.056069	0.003439	0.010791
MSTRG.1143	SDHC	chr1	+	161284166	161345130	78.442818	4.841737	15.191041
MSTRG.1144	CFAP126	chr1	-	161334523	161337666	0.000000	0.000000	0.000000
FCRLA	FCRLA	chr1	+	161677019	161684142	7.352801	0.464496	1.457366
FCRLB	FCRLB	chr1	+	161691334	161697933	2.604933	0.191487	0.600794
MSTRG.1147	DUSP12	chr1	+	161719576	161727028	151.756516	9.352051	29.342236
MSTRG.1148	ATF6	chr1	+	161736110	161933860	82.069145	5.034104	15.794596
MSTRG.1149	OLFML2B	chr1	-	161952982	161994255	51.900585	3.188049	10.002565
SH2D1B	SH2D1B	chr1	-	162365058	162381926	0.000000	0.000000	0.000000
NOS1AP	NOS1AP	chr1	+	162039481	162340265	0.547264	0.048931	0.153523
MIR4654	MIR4654	chr1	+	162126897	162126972	0.000000	0.000000	0.000000
MIR556	MIR556	chr1	+	162312336	162312430	0.000000	0.000000	0.000000
SPATA46	SPATA46	chr1	-	162342993	162346644	0.000000	0.000000	0.000000
C1orf226	C1orf226	chr1	+	162348631	162356608	3.373235	0.216802	0.680221
MSTRG.1150	UHMK1	chr1	+	162466964	162499421	39.896671	2.970737	9.320742
MSTRG.1151	UAP1	chr1	+	162531230	162570314	348.987274	26.232918	82.306282
CCDC190	CCDC190	chr1	-	162824087	162838605	9.454897	0.579961	1.819640
MSTRG.1153	HSD17B7	chr1	+	162760492	162782608	71.204109	5.027203	15.772944
MSTRG.1152	DDR2	chr1	+	162600653	162757195	74.776505	15.309647	48.034309
MSTRG.1154	RGS4	chr1	+	163038396	163046592	287.358704	21.474785	67.377548
MSTRG.1155	RGS5	chr1	-	163112089	163291581	3.338053	0.515264	1.616650
MSTRG.1156	LOC101928404	chr1	+	163131465	163182813	0.000000	0.000000	0.000000
MSTRG.1157	NUF2	chr1	+	163291744	163325549	91.863541	5.658577	17.753893
MSTRG.1159	PBX1	chr1	+	164528421	164855284	76.156189	5.993633	18.805138
MSTRG.1160	PBX1-AS1	chr1	-	164738353	164743878	0.166072	0.010187	0.031961
MSTRG.1158	MGST3	chr1	+	165600471	165625574	57.339695	49.652035	155.784195
MSTRG.1161	ALDH9A1	chr1	-	165631449	165667900	361.842285	23.308809	73.131836
MSTRG.1165	-	chr1	.	166245590	166246867	19.089985	1.170976	3.673958
MSTRG.1166	POGK	chr1	+	166808712	166825583	60.784073	3.731828	11.708683
MSTRG.1167	TADA1	chr1	-	166825749	166845501	28.884670	1.771780	5.558992
ILDR2	ILDR2	chr1	-	166877424	166944777	0.000000	0.000000	0.000000
MSTRG.1162	TMCO1	chr1	-	165693528	165738159	172.557983	11.055886	34.688053
MSTRG.1163	TMCO1-AS1	chr1	+	165738166	165744685	0.946465	0.058056	0.182152
MSTRG.1164	UCK2	chr1	+	165796851	165880855	128.946716	8.264851	25.931128
FAM78B	FAM78B	chr1	-	166025155	166136238	0.137372	0.010816	0.033936
MIR921	MIR921	chr1	-	166123980	166124035	0.000000	0.000000	0.000000
CD247	CD247	chr1	-	167399877	167487847	0.123736	0.007590	0.023814
POU2F1	POU2F1	chr1	+	167190122	167396582	1.750358	0.324435	1.017922
MSTRG.1168	CREG1	chr1	-	167510251	167522999	68.422005	4.196991	13.168140
ADCY10	ADCY10	chr1	-	167778623	167883372	0.372374	0.022841	0.071665
MSTRG.1169	MPZL1	chr1	+	167691219	167761156	426.007446	26.182491	82.148064
GPR161	GPR161	chr1	-	168048780	168106905	21.214851	1.495425	4.691924
MSTRG.1170	MPC2	chr1	-	167885913	167906310	214.723434	13.977568	43.854881
MSTRG.1171	DCAF6	chr1	+	167905477	168045081	44.169250	17.744844	55.674782
MSTRG.1172	MIR1255B2	chr1	+	167967898	167967964	0.000000	0.000000	0.000000
MSTRG.1179	TIPRL	chr1	+	168115292	168171352	130.715530	8.961130	28.115717
MSTRG.1173	SFT2D2	chr1	+	168195242	168222259	31.249048	1.916810	6.014028
MSTRG.1174	ANKRD36BP1	chr1	-	168214819	168216668	0.000000	0.000000	0.000000
MSTRG.1175	TBX19	chr1	+	168250115	168283664	10.022780	0.614795	1.928932
MSTRG.1176	MIR557	chr1	+	168344762	168344859	0.000000	0.000000	0.000000
MSTRG.1180	DPT	chr1	-	168664706	168698444	192.260620	11.793225	37.001469
SELL	SELL	chr1	-	169659808	169680761	1.131012	0.070965	0.222653
MSTRG.1181	SLC19A2	chr1	-	169433149	169455208	30.197470	1.853142	5.814270
F5	F5	chr1	-	169481189	169555719	0.000000	0.000000	0.000000
MSTRG.1182	ATP1B1	chr1	+	169075928	169101957	8.971381	0.550303	1.726585
MSTRG.1183	NME7	chr1	-	169101768	169337201	108.077988	6.891238	21.621391
MSTRG.1184	BLZF1	chr1	+	169337117	169365780	72.046028	6.958117	21.831226
MSTRG.1185	CCDC181	chr1	-	169364108	169429907	0.874271	0.058234	0.182710
MSTRG.1187	METTL18	chr1	-	169761670	169764048	23.431776	1.499193	4.703746
MSTRG.1188	C1orf112	chr1	+	169763871	169823220	7.967773	1.128139	3.539558
MSTRG.1189	SCYL3	chr1	-	169818772	169863100	13.829972	1.033937	3.243998
LINC01142	LINC01142	chr1	-	170240546	170253349	0.000000	0.000000	0.000000
MSTRG.1186	KIFAP3	chr1	-	169890470	170043879	10.721128	7.224564	22.667208
MSTRG.1191	GORAB-AS1	chr1	-	170430458	170501750	3.831230	0.235007	0.737338
MSTRG.1192	GORAB	chr1	+	170501307	170522975	31.386148	2.828367	8.874054
MROH9	MROH9	chr1	+	170904612	171033906	0.348485	0.024962	0.078320
FMO6P	FMO6P	chr1	+	171106879	171130702	0.608471	0.037323	0.117103
MSTRG.1193	FMO3	chr1	+	171060046	171086959	18.150732	1.181836	3.708033
MSTRG.1194	MIR1295A	chr1	-	171070869	171070947	0.000000	0.000000	0.000000
MSTRG.1195	MIR1295B	chr1	+	171070880	171070939	0.000000	0.000000	0.000000
FMO2	FMO2	chr1	+	171154347	171181824	7.120053	0.445932	1.399119
MSTRG.1196	FMO1	chr1	+	171217610	171255117	4.039885	1.196398	3.753722
FMO4	FMO4	chr1	+	171283322	171311223	12.193226	0.747930	2.346644
TOP1P1	TOP1P1	chr1	+	171308035	171310463	7.998765	0.490643	1.539400
MSTRG.1190	PRRX1	chr1	+	170630600	170708562	508.315399	41.645794	130.664459
MSTRG.1197	-	chr1	.	171639592	171639813	1112.252197	68.225311	214.058197
VAMP4	VAMP4	chr1	-	171669303	171711205	16.869019	1.034742	3.246522
MSTRG.1198	PRRC2C	chr1	+	171454659	171562650	162.935028	10.029882	31.468946
MSTRG.1199	EEF1AKNMT	chr1	+	171750800	171766856	161.488571	9.969457	31.279362
FASLG	FASLG	chr1	+	172628148	172636016	0.000000	0.000000	0.000000
TNFSF18	TNFSF18	chr1	-	173010360	173020103	1.385027	0.084957	0.266555
MSTRG.1205	DNM3	chr1	+	171810638	172387603	1.175718	0.112652	0.353447
MSTRG.1206	DNM3-IT1	chr1	+	171833332	171833827	0.000000	0.000000	0.000000
MSTRG.1207	MIR214	chr1	-	172106005	172113975	19.279137	1.643695	5.157125
MSTRG.1208	MIR3120	chr1	+	172107948	172108028	0.000000	0.000000	0.000000
MSTRG.1209	PIGC	chr1	-	172363122	172413209	48.608673	7.280284	22.842031
MSTRG.1210	C1orf105	chr1	+	172389825	172437969	0.000000	0.000000	0.000000
MSTRG.1200	SUCO	chr1	+	172501489	172580975	50.390438	3.365067	10.557963
SLC9C2	SLC9C2	chr1	-	173469599	173572211	0.000000	0.000000	0.000000
ANKRD45	ANKRD45	chr1	-	173577475	173638990	0.000000	0.000000	0.000000
TEX50	TEX50	chr1	+	173604477	173606269	0.000000	0.000000	0.000000
MSTRG.1211	KLHL20	chr1	+	173684120	173755825	65.574265	4.098375	12.858730
MSTRG.1201	TNFSF4	chr1	-	173152870	173176470	13.144050	0.869313	2.727485
MSTRG.1202	LOC100506023	chr1	-	173204199	173446294	0.975263	0.059822	0.187694
MSTRG.1203	LOC101928673	chr1	-	173386928	173430501	3.814733	0.233995	0.734163
MSTRG.1204	PRDX6	chr1	+	173446474	173457954	2036.357422	124.909729	391.906647
MSTRG.1221	RABGAP1L-DT	chr1	-	174090776	174128425	0.000000	0.000000	0.000000
RC3H1	RC3H1	chr1	-	173900222	173991495	10.591236	0.669492	2.100545
